Stkcd,ShortName,Accper,ROE,净利润增长率,营业收入增长率,资产负债率,总资产,研发投入,TobinQ,Year,Quarter,ln_Asset,ln_RD,RD_Intensity,Lag_1_ln_RD,Lag_1_RD_Intensity
300002,神州泰岳,2022-12-31,0.115936,0.078263,0.360457,0.166397,5817805060.7,303444069.67,1.629344,2022,4,22.484188890218817,19.530707870328758,0.052157826964640434,19.206004228170677,0.03895499336689598
300002,神州泰岳,2023-03-31,0.035115,0.030573,-0.228455,0.144422,5901264833.11,98252823.81,3.27485,2023,1,22.498432543375518,18.403054559547154,0.016649451700377293,19.530707870328758,0.052157826964640434
300002,神州泰岳,2023-06-30,0.078688,0.285238,0.189391,0.153079,6193017203.76,164307311.48,4.586344,2023,2,22.546688236834857,18.917249088894756,0.026531060075247845,18.403054559547154,0.016649451700377293
300002,神州泰岳,2023-09-30,0.107434,-0.308333,-0.030454,0.148352,6364288062.93,246932268.98,3.248241,2023,3,22.573968210842864,19.32462464638236,0.038799668798510815,18.917249088894756,0.026531060075247845
300002,神州泰岳,2023-12-31,0.165527,1.127218,0.367497,0.149352,6802772091.55,329673821.61,2.700616,2023,4,22.640596026579555,19.61361430728592,0.0484616884372036,19.32462464638236,0.038799668798510815
300002,神州泰岳,2024-03-31,0.048672,-0.118857,-0.221337,0.129767,7024264917.64,92533093.69,2.74576,2024,1,22.672636408632915,18.34307691892693,0.013173349065696841,19.61361430728592,0.0484616884372036
300002,神州泰岳,2024-06-30,0.102829,0.151425,0.051263,0.130219,7278809369.29,193173348.38,2.317949,2024,2,22.708233137605095,19.079098527059955,0.026539141029715246,18.34307691892693,0.013173349065696841
300002,神州泰岳,2024-09-30,0.171202,0.373614,-0.066192,0.125471,7823703402.93,271950775.65,3.253553,2024,3,22.78042386033691,19.421131639685022,0.03475985241824909,19.079098527059955,0.026539141029715246
300002,神州泰岳,2024-12-31,0.221796,-0.261038,0.32713,0.137604,8132332026.13,332506102.03,2.934603,2024,4,22.819113561457215,19.622168772869177,0.040886931443726654,19.421131639685022,0.03475985241824909
300002,神州泰岳,2025-03-31,0.033026,-0.303681,-0.317374,0.109889,8154692917.89,86506229.46,3.291506,2025,1,22.82185941662554,18.27572699774749,0.010608152916490593,19.622168772869177,0.040886931443726654
300002,神州泰岳,2025-06-30,0.070335,0.138929,0.028501,0.139193,8504476656.12,177104528.7,2.862261,2025,2,22.863858527229006,18.992250679501073,0.020824859172557296,18.27572699774749,0.010608152916490593
300002,神州泰岳,2025-09-30,0.097588,-0.228114,0.016504,0.110913,8507336544.05,261362048.03,3.410603,2025,3,22.864194750995782,19.38141716510239,0.030721959414288794,18.992250679501073,0.020824859172557296
300033,同花顺,2019-12-31,0.244934,1.266932,0.291828,0.237954,5235969278.51,464930038.84,11.440757,2019,4,22.37881781761818,19.95739750027561,0.08879541000139426,,
300033,同花顺,2020-03-31,0.033124,-0.711269,-0.343997,0.31423,5349758151.85,129552637.66,11.227501,2020,1,22.400317191570856,18.679597832653815,0.024216541006662026,19.95739750027561,0.08879541000139426
300033,同花顺,2020-06-30,0.110193,1.462239,0.579131,0.31831,5839629907.03,263295745.07,12.569739,2020,2,22.487933259694547,19.38878846812638,0.04508774515882131,18.679597832653815,0.024216541006662026
300033,同花顺,2020-09-30,0.186411,0.066002,0.108214,0.296051,6099574272.14,405789906.1,14.386561,2020,3,22.531484814237682,19.821346113435055,0.06652757848256038,19.38878846812638,0.04508774515882131
300033,同花顺,2020-12-31,0.374197,1.859044,0.753059,0.269923,7155697274.87,585288454.32,9.58441,2020,4,22.691174698018628,20.187615369686263,0.08179335036649286,19.821346113435055,0.06652757848256038
300033,同花顺,2021-03-31,0.033993,-0.821886,-0.550339,0.275726,6559531568.5,176636224.83,10.061401,2021,1,22.604185030111935,18.9896029543732,0.026928176651856907,20.187615369686263,0.08179335036649286
